20-31;25547
20-32;25660
20-33;
20-34;24917
20-35;19379
20-36;18534
20-37;
20-40;18689
20-41;19534
20-42;25125
20-43;
20-44;24762
20-45;25660
20-46;25452
20-47;
20-50;26395
20-51;26187
20-52;27085
20-53;
20-54;26722
20-55;29020
20-56;28812
20-57;28710
20-60;29555
20-61;29347
20-62;29245
21-14;13939
21-15;15474
21-16;21033
21-17;21325
21-20;21723
21-21;23068
21-22;23360
21-23;23758
21-24;25303
21-25;25595
21-26;25993
21-27;27338
21-30;27630
21-31;28028
21-32;30183
21-33;30585
21-34;31068
21-35;32218
21-36;32620
21-37;33103
21-40;33103
21-41;32620
21-42;32218
21-43;31068
21-44;30585
21-45;30183
21-46;28028
21-47;27630
21-50;27338
21-51;25993
21-52;25595
21-53;25303
21-54;23758
21-55;23360
21-56;23068
21-57;21723
21-60;21325
21-61;21033
21-62;15474
21-63;13939
22-13;27751
22-14;27853
22-15;
22-16;28216
22-17;27371
22-20;27473
22-21;
22-22;27836
22-23;25538
22-24;25746
22-25;
22-26;25003
22-27;25211
22-30;24113
22-31;
22-32;24476
22-33;23578
22-34;23786
22-35;
22-36;19534
22-37;18689
22-40;18689
22-41;
22-42;19379
22-43;23786
22-44;23578
22-45;
22-46;24321
22-47;24113
22-50;25211
22-51;
22-52;24848
22-53;25746
22-54;25538
22-55;
22-56;27681
22-57;27473
22-60;27371
22-61;
22-62;28061
22-63;27853
22-64;27751
23-13;13689
23-14;14087
23-15;15474
23-16;19945
23-17;20237
23-20;20635
23-21;21980
23-22;22272
23-23;22670
23-24;24215
23-25;24507
23-26;24905
23-27;26250
23-30;26542
23-31;26940
23-32;29095
23-33;29497
23-34;29980
23-35;31130
23-36;31532
23-37;32015
23-40;32015
23-41;31532
23-42;31130
23-43;29980
23-44;29497
23-45;29095
23-46;26940
23-47;26542
23-50;26250
23-51;24905
23-52;24507
23-53;24215
23-54;22670
23-55;22272
23-56;21980
23-57;20635
23-60;20237
23-61;19945
23-62;15474
23-63;14087
